{ name: 'Hirnschmelzer', effect: 'verwirrt das Ziel komplett', damage: 35 },
    { name: 'Sockenbombe', effect: 'hinterlässt einen bleibenden Geruchsschaden', damage: 30 },
    { name: 'TikTok-Cringe', effect: 'verursacht seelischen Schaden', damage: 28 },
    { name: 'Schuldenfalle', effect: 'zieht dir den Boden unter den Füßen weg', damage: 32 },
    { name: 'Lachflash', effect: 'bringt dich zum Weinen (vor Lachen)', damage: 27 },
    { name: 'Kabelsalat', effect: 'verwirrt dein Gehirn mit Technik', damage: 26 },
    { name: 'Reality-Check', effect: 'holt dich brutal auf den Boden zurück', damage: 34 },
    { name: 'Matheaufgabe', effect: 'verursacht Denkblockade', damage: 31 },
    { name: 'Großmutter-Klatscher', effect: 'knallt mit dem Hausschuh zu', damage: 29 },
    { name: 'Döner ohne Soße', effect: 'reiner Schmerz', damage: 33 },

    { name: 'Pizza-Wurf', effect: 'macht fettige Schäden', damage: 28 },
    { name: 'Koffein-Explosion', effect: 'versetzt das Ziel in Panik', damage: 30 },
    { name: 'WhatsApp-Spam', effect: 'blockiert das Gehirn mit Benachrichtigungen', damage: 26 },
    { name: 'Windows-Update', effect: 'friert das Ziel für Stunden ein', damage: 33 },
    { name: 'Sneaker-Stinker', effect: 'macht jeden kampfunfähig durch Gestank', damage: 27 },
    { name: 'Selfie-Flash', effect: 'blendet das Ziel komplett', damage: 25 },
    { name: 'Luftgitarren-Solo', effect: 'schneidet tief in die Coolness', damage: 29 },
    { name: 'Katzenvideo-Schock', effect: 'bringt das Ziel zum Sabbern', damage: 28 },
    { name: 'Tastatur-Wutanfall', effect: 'lässt Finger bluten', damage: 31 },
    { name: 'Troll-Kommentar', effect: 'triggert unkontrollierte Wut', damage: 30 },

    { name: 'Level 1 Magie', effect: 'sieht cool aus, tut aber nix', damage: 24 },
    { name: 'Kabelbruch', effect: 'lässt das Ziel die Verbindung verlieren', damage: 27 },
    { name: 'Lieferando-Zeitbombe', effect: 'explodiert nach 60 Minuten', damage: 29 },
    { name: 'YouTube-Ads', effect: 'nervt bis zur Aufgabe', damage: 28 },
    { name: 'Mathe-Klausur', effect: 'zieht jegliche Hoffnung ab', damage: 32 },
    { name: 'Lego-Fußtritt', effect: 'verursacht legendären Schmerz', damage: 33 },
    { name: 'Abo-Falle', effect: 'zieht langsam dein Leben', damage: 30 },
    { name: 'Emoji-Sturm', effect: 'macht alles niedlich aber tödlich', damage: 27 },
    { name: 'Kaugummi-Haarfalle', effect: 'lässt das Ziel verzweifeln', damage: 25 },
    { name: 'Zugverspätung', effect: 'bringt deinen Rhythmus komplett durcheinander', damage: 31 },

    { name: 'Memes des Todes', effect: 'zu lustig zum Überleben', damage: 29 },
    { name: 'Haargel-Explosion', effect: 'verklebt die Gedanken', damage: 26 },
    { name: 'TikTok-Tanzwelle', effect: 'zwingt das Ziel zum Mittanzen', damage: 28 },
    { name: 'Verwandtenbesuch', effect: 'zieht dir Energie mit Smalltalk ab', damage: 32 },
    { name: 'Kabelbinder-Falle', effect: 'macht alles unbeweglich', damage: 30 },
    { name: 'PowerPoint-Folter', effect: 'Schmerz durch Langeweile', damage: 27 },
    { name: 'Captcha-Krise', effect: 'hält dich ewig auf', damage: 25 },
    { name: 'Böller-Schreck', effect: 'macht das Trommelfell kaputt', damage: 33 },
    { name: 'Gurkenwasser-Schuss', effect: 'zieht die Kehle trocken', damage: 24 },
    { name: 'Autotune-Angriff', effect: 'verändert deine Stimme auf ewig', damage: 29 },

    { name: 'Rosenmontag-Bombe', effect: 'macht alles jeck', damage: 31 },
    { name: 'Lautsprecher-Overkill', effect: 'macht die Ohren taub', damage: 30 },
    { name: 'Streamer Rage', effect: 'lässt alles brennen', damage: 32 },
